レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040501,2026.9.19,土,中山,4中5,1,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
5,,8,ナムラハリス,牝,3,8,17.1, ,100,10,53,,,浜中俊,(栗),宮地貴稔,リアルスティール,ロードカナロア,,,9,5,2札5,6,１勝ｸﾗｽ・牝,ダ,1700,稍,,浜中,53.0,,9,31.4,5,0.5,9,7,7,10,8,37.69,36.8,1,ローゾフィア
6,,9,ガイラルディア,牝,4,3,7.9, ,101,8,56,,*,古川吉洋,(栗),藤野健太,シニスターミニスター,ハーツクライ,ナスルーラ系,ロイヤルチャージャー系,9,6,4阪2,2,１勝ｸﾗｽ・牝,ダ,1800,良,,松若,56.0,,10,76.4,4,0.5,6,3,3,3,2,38.10,38.6,7,マクノス
6,,10,メイショウアカリ,牝,3,5,11.3, ,108,3,53,,,太宰啓介,(栗),松下武士,ホッコータルマエ,マンハッタンカフェ,,ロイヤルチャージャー系,8,29,3名3,28,１勝ｸﾗｽ・牝,ダ,1800,稍,,太宰,53.0,,1,2.9,6,1.1,3,9,8,5,7,38.85,37.9,6,セレーノ
7,B,11,メイショウウメゴチ,牝,4,13,29.6, ,101,8,56,,,秋山稔樹,(栗),高橋義忠,ダノンレジェンド,マンハッタンカフェ,,ロイヤルチャージャー系,6,27,2小1,8,１勝ｸﾗｽ・牝,ダ,1700,重,,秋山,56.0,,9,59.0,8,1.3,6,7,7,7,6,36.16,38.9,8,ホウショウルクス
7,,12,リアンクトワ,牝,5,9,19.4, ,104,6,54,△,,柴田裕一,(栗),辻野泰之,ドレフォン,チチカステナンゴ,,ナスルーラ系,8,29,3名3,16,１勝ｸﾗｽ・牝,ダ,1800,稍,,柴田,54.0,△,7,24.2,5,0.2,8,2,2,2,2,38.70,37.3,3,セレーノ
8,,13,ラグナトーレ,牝,4,11,27.4, ,103,7,56,,,中井裕二,(栗),角田晃一,オルフェーヴル,キングカメハメハ,,ネイティヴダンサー系,8,29,3名3,7,１勝ｸﾗｽ・牝,ダ,1800,稍,,中井,56.0,,8,28.5,3,0.2,9,4,4,5,5,38.80,37.1,1,セレーノ
8,,14,シュネルアンジュ,牝,3,1,2.9, ,117,1,53,,,武豊,(栗),寺島良,キズナ,"Distorted Humor",,ネイティヴダンサー系,9,6,4阪2,17,１勝ｸﾗｽ・牝,ダ,1800,良,,武豊,53.0,,1,1.4,5,0.6,1,6,6,6,4,38.25,38.4,5,マクノス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040510,2026.9.19,土,阪神,4阪5,10,北摂特別,2勝,芝,1200,B,2,良(暫定),曇(暫定),16,14:50,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,タマモブラウンタイ,牡,4,4,7.9,>,109,6,58,,*,松山弘平,(栗),角田晃一,ディスクリートキャット,ブラックタイド,,ロイヤルチャージャー系,5,10,3京6,2,１勝ｸﾗｽ,芝,1200,良,B,幸英,58.0,,1,3.5,1,-0.2,1,,,1,1,33.60,33.8,3,(ジーティーエスピ)
2,,2,スネーフリンガ,牝,4,6,11.1, ,111,5,56,,,幸英明,(栗),森田直行,サンダースノー,デュランダル,,ロイヤルチャージャー系,7,11,2小5,2,耶馬渓特･2勝,芝,1200,良,,幸英,56.0,,12,39.8,5,0.1,9,,,3,3,32.50,35.2,9,インブロリオ
2,,3,ハルオーブ,牡,6,7,16.6, , 91,13,58,,,酒井学,(美),武井亮,ディーマジェスティ,ファルブラヴ,,ニアークティック系,8,15,2名7,5,知多特別･2勝,芝,1200,良,,酒井,58.0,,10,54.7,8,0.7,7,,,10,10,34.70,33.3,5,フォーゲル
3,B,4,ノボリリア,牝,4,3,6.2,>,113,3,56,,*,武豊,(栗),石橋守,カリフォルニアクローム,ディープインパクト,,ロイヤルチャージャー系,7,12,2小6,7,１勝ｸﾗｽ,芝,1200,良,B,高杉,56.0,,2,4.2,1,-0.7,5,,,2,2,32.70,34.5,2,(ベルファスト)
3,,5,ダノンキラウェア,牡,5,5,10.7, ,122,1,58,,*,中井裕二,(栗),中内田充,ロードカナロア,"Sligo Bay",,ニアークティック系,8,16,2名8,12,大垣特別･2勝,ダ,1400,良,,岩田,58.0,,2,4.0,3,0.2,2,,,10,7,36.08,36.2,2,メイショウタムシバ
4,,6,リヴァイ,牡,3,1,3.2,>,117,2,56,,,西村淳也,(栗),高野友和,サートゥルナーリア,ジャスタウェイ,,,8,16,1札8,5,小樽特別･1勝,芝,1200,良,,西村,56.0,,3,6.4,1,-0.8,4,,,10,5,34.70,33.4,1,(ノアールビーナス)
4,,7,タガノアンファン,牡,4,2,5.1, ,109,6,58,,,岩田望来,(栗),石坂公一,レッドベルジュール,ロードカナロア,,,8,2,2名4,11,中京スポ･2勝,芝,1400,良,,岩田,58.0,,5,28.9,4,0.3,5,,,6,6,33.98,33.7,4,トミーバローズ
5,,8,サンライズプルート,牡,6,13,77.1, ,102,8,58,,*,吉村誠之,(栗),東田明士,リオンディーズ,ディープインパクト,,ロイヤルチャージャー系,7,11,2小5,2,耶馬渓特･2勝,芝,1200,良,,富田,58.0,,17,149.9,7,0.4,12,,,11,10,33.10,34.9,6,インブロリオ
5,,9,ジューンキートス,牝,3,14,79.3, ,  0,,54,,,小谷哲平,[地],碇清次郎,ミスチヴィアスアレックス,ダンカーク,,,9,3,園田,5,Ｂ１　,ダ,1400,稍,,小谷,55.0,☆,2,,2,0.2,,4,4,3,4,,----,,ゼットシルヴィア
6,,10,ヒーローインチーフ,セ,5,9,18.7, , 99,9,58,,*,松若風馬,(栗),吉田直弘,ディスクリートキャット,タニノギムレット,,ロイヤルチャージャー系,8,15,2名7,4,知多特別･2勝,芝,1200,良,,富田,58.0,,8,16.4,6,0.3,8,,,10,10,34.60,33.0,1,フォーゲル
6,,11,ミキノバカラ,牡,4,10,27.4, ,112,4,58,,*,西塚洸二,(栗),大橋勇樹,ジョーカプチーノ,シニスターミニスター,ロイヤルチャージャー系,ナスルーラ系,8,22,2札1,3,WASJ第１･2勝,芝,1200,良,,横山,58.0,,6,12.4,3,0.4,10,,,9,8,34.30,34.8,3,アスミル
7,,12,ビーアイフォルテ,牝,4,15,105.7, , 94,11,56,,*,鮫島克駿,(栗),牧田和弥,シルバーステート,ヨハネスブルグ,,ニアークティック系,8,30,3新4,28,閃光特別･2勝,芝,1000,稍,,江田,56.0,,11,53.9,17,1.3,11,,,,9,34.05,34.5,17,ヴェントゥーラ
7,,13,ウチュウノセカイ,牡,3,8,18.3, , 97,10,56,,*,秋山稔樹,(美),青木孝文,タワーオブロンドン,ローレルゲレイロ,,ニアークティック系,9,5,4中1,2,白井特別･2勝,芝,1200,良,,原優,56.0,,4,13.5,13,1.7,10,,,13,12,35.20,33.5,4,ミニョンマルーン
8,,14,ヤマニンレセディ,牝,4,12,73.2, , 91,13,56,,*,角田大和,(栗),長谷川浩,エピファネイア,シニスターミニスター,,ナスルーラ系,6,27,2小1,2,宗像特別･2勝,芝,1200,稍,,田山,56.0,,11,67.1,10,0.7,8,,,7,7,34.50,34.6,10,ジェニファー
8,,15,インフローレ,牝,4,11,38.5, , 93,12,56,,*,Ｍ．デム,(栗),寺島良,リオンディーズ,ハービンジャー,,ニアークティック系,8,15,2名7,9,知多特別･2勝,芝,1200,良,,岩田,56.0,,6,13.4,10,1.0,2,,,5,5,34.20,34.1,9,フォーゲル
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040511,2026.9.19,土,阪神,4阪5,11,大阪スポーツ杯,3勝,ダート,1400,,2,良(暫定),曇(暫定),16,15:30,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,テイエムヒショウ,牡,6,10,20.6, , 96,11,58,,*,田山旺佑,(栗),浜田多実,ヘニーヒューズ,タイキシャトル,,ロイヤルチャージャー系,5,3,3京4,4,東大路Ｈ･3勝,ダ,1400,稍,,川須,54.0,,11,28.8,14,2.5,13,,,3,3,34.58,39.1,13,ハワイアンタイム
1,,2,トゥロン,牝,4,13,45.1, , 94,13,56,,*,幸英明,(栗),井上智史,ナダル,シンボリクリスエス,,ロイヤルチャージャー系,8,1,2名3,11,桶狭間Ｓ･3勝,ダ,1400,良,,富田,56.0,,10,128.9,13,2.3,9,,,14,13,36.00,37.8,9,スナッピードレッサ
2,,3,マッシャーブルム,牡,5,16,96.6, , 93,15,58,,,鮫島良太,(栗),河嶋宏樹,モーニン,キングヘイロー,,ニアークティック系,7,19,2小8,3,宮崎ＳＨ･3勝,ダ,1700,良,,鮫島,56.0,,12,30.2,13,2.0,15,8,8,9,9,36.93,39.2,12,グランキングオー
2,B,4,ニューオーリンズ,牡,4,2,4.4, ,124,1,58,,*,和田陽希,(栗),杉山晴紀,リアルスティール,クロフネ,,ニアークティック系,8,1,2名3,7,桶狭間Ｓ･3勝,ダ,1400,良,B,松若,58.0,,2,3.7,3,0.2,3,,,1,1,34.65,37.5,7,スナッピードレッサ
3,B,5,サンダーバース,セ,5,9,19.8, ,106,7,58,,,角田大和,(栗),井上智史,サンダースノー,リキアイサイレンス,,ロイヤルチャージャー系,8,22,3名1,10,伊賀Ｓ･3勝,ダ,1400,良,B,角田,58.0,,12,110.2,2,0.7,16,,,2,2,34.73,37.1,9,ピエマンソン
3,,6,メイショウツヨキ,牡,4,3,7.9, ,108,5,58,,*,武豊,(栗),飯田祐史,アドマイヤマーズ,シニスターミニスター,,ナスルーラ系,6,6,3東1,9,麦秋ＳＨ･3勝,ダ,1400,良,,横山,55.0,,9,38.3,4,0.6,15,,,1,1,35.40,36.4,11,メリディアンスター
4,,7,ハクサンアイリス,牡,4,4,11.0, ,118,2,58,,*,川田将雅,(栗),高橋一哉,ハクサンムーン,デュランダル,,ロイヤルチャージャー系,8,15,2新7,12,上越Ｓ･3勝,ダ,1200,良,,丸山,58.0,,3,5.6,4,0.2,4,,,9,9,35.20,36.7,6,エンヤラヴフェイス
4,,8,キャピタルサックス,牡,5,8,15.6, ,108,5,58,,*,松若風馬,(栗),杉山晴紀,リオンディーズ,クロフネ,,ニアークティック系,6,13,3東3,29,夏至Ｓ･3勝,ダ,1600,稍,,ルメ,58.0,,6,19.3,9,1.3,3,,,7,6,35.82,36.2,12,ルヴァレドクール
5,,9,リサシテーション,牡,3,5,11.8, ,111,4,56,,,菱田裕二,(栗),岡田稲男,リオンディーズ,ワイルドラッシュ,,ニアークティック系,8,1,2名3,8,桶狭間Ｓ･3勝,ダ,1400,良,,菱田,55.0,,3,6.1,8,1.3,5,,,4,4,35.10,38.0,11,スナッピードレッサ
5,,10,カルパ,牡,5,7,15.6, ,103,8,58,,,酒井学,(栗),須貝尚介,モーリス,キングカメハメハ,,ネイティヴダンサー系,7,19,2小8,3,宮崎ＳＨ･3勝,ダ,1700,良,,酒井,55.0,,4,8.8,9,1.4,3,10,10,10,9,36.98,38.5,8,グランキングオー
6,,11,エムズマインド,牡,6,6,14.7, ,100,9,58,,,松山弘平,(栗),荒川義之,マインドユアビスケッツ,フジキセキ,,ロイヤルチャージャー系,9,6,4阪2,2,オークＨ･3勝,ダ,1200,良,,松山,55.0,,7,27.8,8,1.1,2,,,13,13,37.40,35.4,3,ヨリノレジェンド
6,,12,ケイアイメキラ,セ,6,15,66.7, , 95,12,58,,,藤懸貴志,(栗),秋山真一,パイロ,クロフネ,ナスルーラ系,ニアークティック系,6,27,2小1,9,薩摩Ｓ･3勝,ダ,1700,重,,藤懸,58.0,,14,71.6,9,1.5,9,13,13,13,9,36.60,37.3,7,ゴッドブルービー
7,B,13,トウカイポワール,牝,5,14,63.6, , 94,13,56,,,亀田温心,(栗),北出成人,ヘニーヒューズ,ダイワメジャー,,ロイヤルチャージャー系,6,21,3阪6,7,姫路Ｓ･3勝,ダ,1800,重,,亀田,56.0,,15,133.8,11,2.5,16,4,4,4,4,36.90,39.4,13,ペイシャモノノフ
7,B,14,タイセイミッション,セ,5,12,42.1, , 92,16,58,,*,吉田隼人,(美),伊藤圭三,キタサンブラック,ノヴェリスト,,その他のエクリプス系,8,2,1札4,5,ポプラＳ･3勝,ダ,1700,良,B,黛弘,58.0,,7,40.0,10,2.7,2,4,4,9,10,37.75,38.1,8,ヘニーガイスト
8,,15,エブリーポッシブル,牝,3,1,3.3,>,113,3,54,,,岩田望来,(栗),新谷功一,ニューイヤーズデイ,ダイワメジャー,,ロイヤルチャージャー系,7,25,2名1,12,四日市特･2勝,ダ,1400,良,,岩田,53.0,,2,4.6,1,-0.4,5,,,6,6,35.18,36.9,1,(ヘリテージブルーム)
8,,16,シゲルソロソロ,牝,6,11,22.6, , 97,10,56,,,川須栄彦,(栗),谷潔,Runhappy,"Distorted Humor",,ネイティヴダンサー系,8,22,3名1,3,伊賀Ｓ･3勝,ダ,1400,良,,川須,56.0,,15,120.1,4,0.9,14,,,9,11,35.55,36.2,4,ピエマンソン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040512,2026.9.19,土,阪神,4阪5,12,,1勝,ダート,1200,,2,良(暫定),曇(暫定),16,16:10,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ダイヤモンド,牡,4,7,15.2, ,109,2,58,,*,吉村誠之,(栗),清水久詞,サトノダイヤモンド,サクラバクシンオー,,ナスルーラ系,5,23,1新7,4,１勝ｸﾗｽ,ダ,1200,稍,,富田,58.0,,1,5.0,15,2.9,5,,,4,5,34.70,40.2,15,ヴェントインコーダ
1,B,2,キャッチアシーフ,牡,3,3,7.9,>,106,3,52,★,*,河原田菜,(栗),佐藤悠太,マインドユアビスケッツ,ヴィクトワールピサ,,ロイヤルチャージャー系,7,12,2小6,3,未勝利,ダ,1000,良,B,高杉,57.0,,2,4.5,1,-0.1,7,,,3,3,34.35,36.4,3,(クロカミジョウ)
2,,3,グラスゴー,牝,3,9,19.0, , 97,10,54,,*,幸英明,(栗),浜田多実,モズアスコット,ゼンノロブロイ,,ロイヤルチャージャー系,8,30,3名4,11,１勝ｸﾗｽ,ダ,1200,稍,,田山,53.0,☆,8,30.9,9,1.3,4,,,8,7,35.50,37.3,8,ダノンステート
2,,4,ワイルドブッター,セ,4,6,13.9, ,112,1,58,,,高倉稜,(栗),武英智,キンシャサノキセキ,Tapizar,ロイヤルチャージャー系,ナスルーラ系,8,23,3名2,2,豊川特別･1勝,ダ,1200,良,B,高倉,58.0,,7,17.2,3,0.3,11,,,9,8,35.70,36.5,1,カーリキュー
3,,5,マダムイグレイン,牝,4,4,9.3, ,103,5,55,☆,*,田山旺佑,(栗),飯田祐史,ビッグアーサー,コマンズ,,ニアークティック系,6,6,3阪1,3,１勝ｸﾗｽ,ダ,1400,良,,今村,54.0,◇,9,37.4,7,1.1,10,,,2,2,35.18,38.3,10,フェスティヴドレス
3,,6,セイウンバジリスク,牡,3,12,29.5, ,100,8,53,▲,,和田陽希,(栗),北出成人,フィレンツェファイア,ダイワメジャー,,ロイヤルチャージャー系,8,30,2札4,連,１勝ｸﾗｽ,ダ,1000,稍,,和田,53.0,▲,4,6.1,7,0.9,4,,,4,6,36.60,35.9,9,プルミエールパス
4,,7,ダディーズアイル,牡,5,10,19.6, , 88,15,58,,*,田口貫太,(栗),千田輝彦,ミッキーアイル,ダノンシャンティ,,ロイヤルチャージャー系,5,16,3京7,2,１勝ｸﾗｽ,ダ,1200,良,,鷲頭,56.0,△,8,20.7,12,1.0,4,,,10,13,37.20,36.4,8,ニホンピロカラット
4,,8,サヨノパララックス,牡,3,13,45.2, , 97,10,56,,,川須栄彦,(栗),羽月友彦,ミッキーアイル,ハーツクライ,,ロイヤルチャージャー系,8,30,3名4,3,１勝ｸﾗｽ,ダ,1200,稍,,川須,56.0,,12,152.2,5,0.9,7,,,11,9,35.80,36.6,5,ダノンステート
5,,9,レオナルドスター,セ,5,14,51.2, ,103,5,55,▲,,森田誠也,(栗),秋山真一,ダイワメジャー,Equiano,ロイヤルチャージャー系,,9,5,4阪1,7,１勝ｸﾗｽ,芝,1200,良,,森田,55.0,▲,8,13.1,7,1.1,9,,,8,8,35.10,33.8,6,マーゴットミスト
5,,10,パワポケビー,牝,7,16,102.4, , 90,14,56,,,中井裕二,(栗),森田直行,アポロキングダム,ワイルドラッシュ,ネイティヴダンサー系,ニアークティック系,8,30,3名4,48,１勝ｸﾗｽ,ダ,1200,稍,,中井,56.0,,14,319.3,14,2.9,14,,,3,3,34.70,39.7,14,ダノンステート
6,,11,レジェンダリーデイ,セ,6,11,21.3, , 95,13,58,,,菱田裕二,(栗),森田直行,ダノンレジェンド,"Cape Cross",,ニアークティック系,8,30,3名4,18,１勝ｸﾗｽ,ダ,1200,稍,,菱田,58.0,,9,81.3,12,1.6,10,,,6,9,35.20,37.9,12,ダノンステート
6,,12,フェゲフォイア,牡,6,15,64.9, , 88,15,58,,*,国分恭介,(栗),岡田稲男,アドマイヤムーン,"Flying Spur",ネイティヴダンサー系,ニアークティック系,9,5,4阪1,12,１勝ｸﾗｽ,芝,1200,良,B,菱田,58.0,,16,376.2,11,1.9,16,,,11,11,35.40,34.3,9,マーゴットミスト
7,,13,リトセア,牝,3,5,12.3,>, 98,9,54,,,松山弘平,(栗),浜田多実,カリフォルニアクローム,ヨハネスブルグ,,ニアークティック系,7,5,2小4,3,未勝利,ダ,1000,不,,松山,55.0,,5,12.2,1,-0.2,5,,,1,1,33.60,35.5,3,(メイワキラリ)
7,B,14,エイユーサクラ,牝,3,1,3.1,>,101,7,54,,,秋山稔樹,(栗),高橋義忠,ダノンレジェンド,サクラバクシンオー,,ナスルーラ系,6,13,3阪3,4,未勝利・牝,ダ,1200,良,B,秋山,55.0,,3,5.1,1,-0.3,6,,,1,1,35.80,36.6,1,(ファイアプレイス)
8,,15,セガンティーニ,牝,4,8,19.0, , 96,12,56,,*,斎藤新,(栗),坂口智康,ビッグアーサー,スパイキュール,,ロイヤルチャージャー系,8,22,2札1,3,１勝ｸﾗｽ,ダ,1000,良,,石川,56.0,,5,8.2,8,1.0,6,,,5,6,35.10,36.6,8,ミサビスケッツ
8,B,16,ロードヴァルカン,牡,4,2,5.7, ,104,4,58,,,岩田望来,(栗),中村直也,ロードカナロア,ブライアンズタイム,,ロイヤルチャージャー系,8,22,2札1,2,１勝ｸﾗｽ,ダ,1000,良,B,岩田,58.0,,3,6.6,7,0.8,2,,,8,8,35.25,36.3,4,ミサビスケッツ
